prompt,label
"What's the capital of France?",weak
"Summarize this email in one sentence.",weak
"Rewrite this sentence to sound more polite.",weak
"Give me three title ideas for a blog post about gardening.",weak
"Translate 'good morning' to Spanish.",weak
"List five healthy snack ideas.",weak
"Write a short thank-you message to my manager.",weak
"Explain what HTTP stands for.",weak
"Create a two-line product description for a water bottle.",weak
"Fix the grammar in this sentence: I has finished the task.",weak
"Suggest three names for a coffee shop.",weak
"Turn this note into a short to-do list.",weak
"Give me a simple definition of machine learning.",weak
"Write a caption for a photo of a mountain sunrise.",weak
"Make this sentence shorter: Our team is currently in the process of reviewing the document.",weak
"Draft a one-sentence reminder to pay rent.",weak
"List four vegetables high in fiber.",weak
"Explain what a variable is in programming.",weak
"Write a short bio for a student council candidate.",weak
"Convert this bullet into a sentence: increase user retention by 10 percent.",weak
"What does CPU mean?",weak
"Suggest a subject line for a follow-up email after an interview.",weak
"Write a quick apology text for being late.",weak
"Give me three taglines for a fitness app.",weak
"What is the boiling point of water in Celsius?",weak
"Turn this into plain English: leverage cross-functional synergies.",weak
"List three beginner-friendly Python projects.",weak
"What is the opposite of scarcity?",weak
"Create a short intro for a presentation on recycling.",weak
"Give me two tips for better sleep.",weak
"Write a one-sentence mission statement for a tutoring center.",weak
"Explain the term database in one paragraph.",weak
"Make this headline more engaging: New Store Opens Downtown.",weak
"What does UX stand for?",weak
"Write a concise customer support greeting.",weak
"List five indoor plants that are easy to maintain.",weak
"Generate a simple agenda for a 15-minute team sync.",weak
"What is photosynthesis?",weak
"Rewrite this sentence in active voice: The report was completed by the analyst.",weak
"Suggest three icebreaker questions for a meeting.",weak
"Write a brief invitation message for a birthday dinner.",weak
"Summarize the benefits of exercise in three bullet points.",weak
"What is an API?",weak
"Draft a short LinkedIn headline for a software engineer.",weak
"Turn this paragraph into three bullet points.",weak
"Give me three names for a study group.",weak
"What does HTML stand for?",weak
"Write a short product tagline for noise-canceling headphones.",weak
"List four common interview questions.",weak
"Explain recursion in one simple paragraph.",weak
"Make this sound friendlier: Send me the file today.",weak
"Suggest a quick poll question for Slack.",weak
"What is the freezing point of water in Fahrenheit?",weak
"Write a short out-of-office message.",weak
"Give me five ideas for a weekend picnic.",weak
"Simplify this phrase: due to the fact that.",weak
"What is cloud computing?",weak
"Create a short thank-you note for event attendees.",weak
"List three ways to reduce screen time.",weak
"Explain what an algorithm is to a 10-year-old.",weak
"Write a simple CTA for a newsletter signup.",weak
"Suggest three podcast episode titles about time management.",weak
"What is a spreadsheet?",weak
"Turn this rough note into a clean sentence: launch new feature monday maybe.",weak
"Write a short slogan for a bakery.",weak
"List four benefits of drinking water.",weak
"What does SQL stand for?",weak
"Give me a simple elevator pitch for a dog walking service.",weak
"Rewrite this sentence with better grammar: She don't like crowded places.",weak
"Explain a firewall in plain language.",weak
"Compare React and Vue for a small startup dashboard and recommend one with a short rationale.",moderate
"Draft a three-part outreach email sequence for warm B2B leads selling payroll software.",moderate
"Explain how left join differs from inner join with a small example table.",moderate
"Create a 30-day beginner content plan for a fitness coach on LinkedIn.",moderate
"Summarize the pros and cons of remote work for engineering teams.",moderate
"Write a customer onboarding checklist for a SaaS analytics product.",moderate
"Suggest a study plan for learning Python in eight weeks with weekly goals.",moderate
"Rewrite this product page to sound more premium while keeping it concise.",moderate
"Explain the difference between supervised and unsupervised learning with examples.",moderate
"Create an FAQ section for a telehealth startup homepage.",moderate
"Help me prepare for a product manager interview with likely questions and strong answer angles.",moderate
"Draft a one-page project brief for redesigning a nonprofit website.",moderate
"Turn these messy notes into meeting minutes with action items and owners.",moderate
"Propose a simple database schema for a library lending app.",moderate
"Explain why indexes improve database query performance and when they hurt writes.",moderate
"Create a weekend itinerary for a first-time visitor to Jaipur on a moderate budget.",moderate
"Write a launch email for a new invoicing feature aimed at freelancers.",moderate
"Compare monolith and microservices for an early-stage startup and suggest when to switch.",moderate
"Generate a rubric for reviewing junior frontend developer portfolios.",moderate
"Outline a short training workshop on prompt engineering for support agents.",moderate
"Explain the tradeoff between precision and recall in a spam classifier.",moderate
"Create a pricing page draft for a B2B cybersecurity startup.",moderate
"Write a performance review summary for an engineer who improved reliability and mentorship.",moderate
"Suggest KPIs for a customer success team at a subscription software company.",moderate
"Make a migration checklist for moving a small app from SQLite to PostgreSQL.",moderate
"Explain why this Python function is slow and list likely optimization ideas.",moderate
"Draft terms for a simple referral program for an e-commerce store.",moderate
"Create a content outline for a blog post about zero-trust security.",moderate
"Turn this transcript into a concise executive summary and next steps.",moderate
"Compare Kubernetes and Docker Compose for a small internal tool deployment.",moderate
"Write test cases for a login form with email validation and password reset.",moderate
"Create a hiring scorecard for a data analyst role.",moderate
"Explain the differences between REST and GraphQL with examples of when to use each.",moderate
"Suggest a roadmap for shipping an MVP marketplace app in 10 weeks.",moderate
"Draft a customer support response for a delayed shipment that offers compensation.",moderate
"Create a lightweight incident postmortem template for an engineering team.",moderate
"Explain cache invalidation strategies for a product catalog service.",moderate
"Design a 5-slide presentation outline for pitching an employee wellness program.",moderate
"Summarize this legal-style paragraph into language a founder can understand.",moderate
"Create a moderation policy outline for a community discussion app.",moderate
"Suggest segmentation ideas for an email campaign promoting annual plans.",moderate
"Write a release note for a dashboard feature that adds custom filters.",moderate
"Compare AWS Lambda and a small EC2 instance for a periodic reporting job.",moderate
"Draft an SOP for handling high-priority customer escalation tickets.",moderate
"Explain the difference between optimistic and pessimistic locking in databases.",moderate
"Create a one-week onboarding plan for a new backend engineer.",moderate
"Turn this rough feature request into clear user stories with acceptance criteria.",moderate
"Suggest a monitoring setup for a FastAPI app running on a single VM.",moderate
"Write a script for a 90-second product demo of an expense tracking app.",moderate
"Explain why normalization helps databases and when denormalization is useful.",moderate
"Compare OAuth and session-based authentication for an internal admin portal.",moderate
"Draft a classroom lesson plan introducing high school students to AI ethics.",moderate
"Create an A/B testing plan for improving signup conversion on a landing page.",moderate
"Explain likely causes of a slow SQL query that filters by date and joins three tables.",moderate
"Write a roadmap update to stakeholders that balances wins, delays, and next steps.",moderate
"Suggest a folder structure for a medium-sized FastAPI project.",moderate
"Create a skills matrix for a 6-person engineering team.",moderate
"Summarize competitor differences among Slack, Teams, and Discord for workplace chat.",moderate
"Draft a user research interview guide for first-time budgeting app users.",moderate
"Explain how rate limiting protects APIs and name common implementation approaches.",moderate
"Write a concise proposal for adopting code review standards across a team.",moderate
"Create a sample OKR set for a platform engineering team.",moderate
"Suggest a test strategy for a CRUD app with role-based permissions.",moderate
"Compare RabbitMQ and Kafka for event delivery in a mid-sized system.",moderate
"Draft a short architecture note describing a webhook ingestion service.",moderate
"Explain how feature flags can reduce deployment risk.",moderate
"Write a customer FAQ for switching from monthly to annual billing.",moderate
"Create a plan for improving app store reviews for a meditation app.",moderate
"Summarize three likely risks in adopting an LLM feature in a support workflow.",moderate
"Design an experiment to see whether a new homepage hero improves demo requests.",moderate
"Help me debug why a Dockerized FastAPI app works locally but fails in production with 502 errors.",strong
"Design the architecture for a multi-tenant LLM routing platform that balances latency, cost, and data privacy.",strong
"Analyze this flaky CI pipeline pattern and propose a root-cause investigation plan with instrumentation.",strong
"Create a production rollout plan for migrating from a monolith to event-driven services with minimal downtime.",strong
"Review this SQL query strategy for a billion-row table and recommend indexing and partitioning changes.",strong
"Design a retrieval-augmented generation system for internal docs with security boundaries and eval metrics.",strong
"Propose an observability strategy for a distributed system with traces, logs, metrics, and SLOs.",strong
"Debug why our Kubernetes pods restart under load even though CPU appears low and memory graphs look normal.",strong
"Plan an end-to-end evaluation framework for prompt routing quality, cost, latency, and fallback safety.",strong
"Refactor this ambiguous product requirement into a delivery plan with risks, dependencies, and tradeoffs.",strong
"Explain how you would investigate inconsistent replication lag spikes in PostgreSQL across regions.",strong
"Design a queue-based ingestion pipeline for millions of webhook events per day with idempotency guarantees.",strong
"Compare several approaches for isolating customer data in a SaaS app and recommend one for regulated clients.",strong
"Create a detailed incident response runbook for a payment outage affecting checkout success.",strong
"Diagnose why a recommendation model performs well offline but degrades sharply after deployment.",strong
"Propose a schema evolution strategy for event payloads consumed by multiple downstream teams.",strong
